"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"76","Otter Bulletin article","Budsabong Kanchanasaka and Nicole Duplaix
",2011,"Food Habits of the Hairy-nosed otter (Lutra sumatrana) and the Small-clawed otter (Aonyx cinereus) in
Pru Toa Daeng Peat Swamp Forest, Southern Thailand","Thailand","East Asia & Pacific","","Lutra sumatrana","Aonyx cinereus","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Wood & pulp plantations","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"77","SCC","",1992,"Report on the Norwegian wolverine (Gulo gulo L.)","Norway","Europe & Central Asia","Europe & Central Asia","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Livestock farming & ranching","","","","","","Biological resource use","Agriculture & aquaculture","","",""
"78","Book Section","W. D. Spencer; H. Rustigian-Romsos; K. Ferschweiler; D. Bachelet",2015,"Simulating Effects of Climate and Vegetation Change on Distributions of Martens and Fishers in the Sierra Nevada, California, Using Maxent and MC1","USA","North America","North America","Pekania pennanti","","","","","","Logging & wood harvesting (intentional & unintentional)","","","Habitat shifting & alteration","","Livestock farming & ranching","","","","Biological resource use","Climate change & severe weather","Agriculture & aquaculture","",""
"79","Journal Article","P. Suffice; M. Cheveau; L. Imbeau; M. J. Mazerolle; H. Asselin; P. Drapeau",2020,"Habitat, Climate, and Fisher and Marten Distributions","USA / Canada","North America","North America","Pekania pennanti","Martes americana","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","Habitat shifting & alteration","","Problematic native species/diseases","","","","Biological resource use","Climate change & severe weather","Invasive & other problematic species, genes & diseases","",""
"80","Journal Article","J. R. Kelly; T. K. Fuller; J. J. Kanter",2009,"Records of Recovering American Marten, Martes americana, in New Hampshire","USA","North America","North America","Martes americana","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","Habitat shifting & alteration","","","","","","Biological resource use","Climate change & severe weather","Other threats","",""
"81","Otter Bulletin article","",2001,"New Information about the Hairy-Nosed Otter (Lutra sumatrana) in Vietnam ","Vietnam","East Asia & Pacific","","Lutra sumatrana","","","","","","Logging & wood harvesting (intentional & unintentional)","Hunting & trapping terrestrial animals (intentional & unintentional)","Not specified (Habitat deterioration)","Droughts","","Not specified","","War, civil unrest & military exercises","","Biological resource use","Climate change & severe weather","Pollution","Human intrusions & disturbance",""
"82","Journal Article","R. Zhang; L. Yang; L. Ai; Q. Y. Yang; M. H. Chen; J. X. Li; L. Yang; X. F. Luan",2017,"Geographic characteristics of sable (Martes zibellina) distribution over time in Northeast China","China","East Asia & Pacific","East Asia","Martes zibellina","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Habitat shifting & alteration","","Housing & urban areas","","","","Biological resource use","Climate change & severe weather","Residential & commercial development","",""
"83","Otter Bulletin article","Imran Ullah, Uzma Noureen, Masood Arshad and Waqar Jadoon",2012,"Factors Influencing Distribution of Eurasian Otter (Lutra lutra) in Swat and Dir Districts, Pakistan","Pakistan","Europe & Central Asia","","Lutra lutra","","","","","","Logging & wood harvesting (intentional & unintentional)","Hunting & trapping terrestrial animals (intentional & unintentional)","","Storms & flooding","","","","","","Biological resource use","Climate change & severe weather","Unspecified (habitat destruction)","",""
"84","Journal Article","C. Carroll",2007,"Interacting effects of climate change, landscape conversion, and harvest on carnivore populations at the range margin: Marten and Lynx in the northern Appalachians","USA / Canada","North America","North America","Martes americana","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Other impacts","","","","","","Biological resource use","Climate change & severe weather","","",""
"85","Journal Article","M. K. Schwartz; K. B. Aubry; K. S. McKelvey; K. L. Pilgrim; J. P. Copeland; J. R. Squires; R. M. Inman; S. M. Wisely; L. F. Ruggiero",2007,"Inferring geographic isolation of wolverines in California using historical DNA","USA","North America","North America","Gulo gulo","","","","","","","","","Habitat shifting & alteration","","","","","","Biological resource use","Climate change & severe weather","","",""
"86","Journal Article","C. B. Wilsey; J. J. Lawler; E. P. Maurer; D. McKenzie; P. A. Townsend; R. Gwozdz; J. A. Freund; K. Hagmann; K. M. Hutten",2013,"Tools for Assessing Climate Impacts on Fish and Wildlife","USA","North America","North America","Martes americana","","","","","","Logging & wood harvesting (intentional & unintentional)","","","Habitat shifting & alteration","","","","","","Biological resource use","Climate change & severe weather","","",""
"87","Journal Article","J. Clare; S. T. McKinney; E. M. Simons-Legaard; J. E. DePue; C. S. Loftin",2019,"Satellite-detected forest disturbance forecasts American marten population decline: The case for supportive space-based monitoring","USA","North America","North America","Martes americana","","","","","","Logging & wood harvesting (intentional & unintentional)","","","Habitat shifting & alteration","","","","","","Biological resource use","Climate change & severe weather","","",""
"88","Journal Article","J. Groenendijk; F. Hajek; P. J. Johnson; D. W. Macdonald; J. Calvimontes; E. Staib; C. Schenck",2014,"Demography of the Giant Otter (Pteronura brasiliensis) in Manu National Park, South-Eastern Peru: Implications for Conservation","Peru","Latin America & Caribbean","Latin America","Pteronura brasiliensis","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","Mining & quarrying","","Livestock farming & ranching","","Industrial & military effluents","","Biological resource use","Energy production & mining","Agriculture & aquaculture","Pollution",""
"89","Journal Article","N. Prakash; D. Mudappa; T. R. S. Raman; A. Kumar",2012,"Conservation of the Asian small-clawed otter (Aonyx cinereus) in human-modified landscapes, Western Ghats, India","India","South Asia","South Asia","Aonyx cinereus","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Mining & quarrying","Marine & freshwater aquaculture","Unspecified","","","","Biological resource use","Energy production & mining","Agriculture & aquaculture","",""
"90","Otter Bulletin article","Jutta Jahrl",1996,"Historical and Current Situation of the Otter (Lutra lutra) and its Habitat in the Region of the Hohe Tauern National Park - Analysis of the Situation and Suggestions for Improvements","Austria","Europe & Central Asia","","Lutra lutra","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Rneweable energy","","Other ecosystem modifications","","","","Biological resource use","Energy production & mining","Natural system modifications","",""
"91","Journal Article","S. A. Omer; T. Wronski; A. Alwash; M. H. Elamin; O. B. Mohammed; H. Lerp",2012,"Evidence for persistence and a major range extension of the smooth-coated otter (Lutrogale perspicillata maxwelli; Mustelidae, Carnivora) in Iraq","Iraq","Middle East & North Africa","Middle East & North Africa","Lutrogale perspicillata","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Renewable energy","","Agricultural & forestry effluents","","Unknown","","Biological resource use","Energy production & mining","Pollution","Agriculture & aquaculture",""
"92","Journal Article","F. C. W. Rosas; G. E. de Mattos; M. M. M. Cabral",2007,"The use of hydroelectric lakes by giant otters Pteronura brasiliensis: Balbina lake in central Amazonia, Brazil","Brazil","Latin America & Caribbean","Latin America","Pteronura brasiliensis","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Mining & quarrying","","Industrial & military effluents","Oil & gas drilling","Dams & water management/use","","Biological resource use","Energy production & mining","Pollution","Natural system modifications",""
"93","Otter Bulletin article","",2017,"Historical and Current Distribution of Smooth Coated Otter Lutrogale perspicillata in Gujarat, India","India","South Asia","","Lutrogale perspicillata","","","","","","Not specified (Habitat deterioration)","","","Mining & quarrying","","Not specified","","","","Biological resource use","Energy production & mining","Pollution","",""
"94","Journal Article","B. G. Slough",2007,"Status of the wolverine Gulo gulo in Canada","Canada","North America","North America","Gulo gulo","","","","","","Logging & wood harvesting (intentional & unintentional)","","","Renewable energy","Oil & gas drilling","Roads & railroads","","Housing & urban areas","","Biological resource use","Energy production & mining","Transportation & service corridors","Residential & commercial development",""
"95","Otter Bulletin article","Lisa C. Davenport, Hélène Jacques and Marie-Louise Yedi
",2011,"Preliminary Findings from a New Study of the Congo Clawless Otter (Aonyx congicus) on the Dji Dji River, Ivindo National Park, Gabon (or “Where Have all the Otters Gone?”)

","Gabon","Sub-Saharan Africa","","Aonyx congicus","Hydrictis maculicollis","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Renewable energy","","","","","Marine & freshwater aquaculture","Biological resource use","Energy production & mining","Unspecified (habitat destruction)","","Agriculture & aquaculture"
"96","Otter Bulletin article","",1988,"Status and Distribution of Otters In the Amboro National Park, Bolivia","Bolivia","Latin America & Caribbean","","Lutrinae sp.","","","","","","Fishing & harvesting aquatic resources (intentional & unintentional)","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","Mining & quarrying","","","","","","Biological resource use","Energy production & mining","","",""
"97","Otter Bulletin article","",2019,"Occurrence of Smooth-Coated Otter Lutrogale perspicillata in Sankaraparani River, Puducherry, India","India","South Asia","","Lutrogale perspicillata","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Mining & quarrying","","","","","","Biological resource use","Energy production & mining","","",""
